,num,PET,variation,category,orig_text,clean_text,char_count,word_count,text,label,euph_status
679,680,muayyen günü,muayyen günleri,bodily functions,"""Kadınların muayyen günleri ya da hamilelik dönemlerinin  de gözetilmesi amacıyla , nöbet ve görevlendirme sürelerine yeni esaslar getirilirken ,  muharebe eğitiminde el bombasını atma kurallarının bile kadınlar gözetilerek yeniden düzenlenmesi ,  Askerlik erkek işidir diyenleri dehşete düşürüyor .""","""kadınların muayyen günleri ya da hamilelik dönemlerinin  de gözetilmesi amacıyla nöbet ve görevlendirme sürelerine yeni esaslar getirilirken  muharebe eğitiminde el bombasını atma kurallarının bile kadınlar gözetilerek yeniden düzenlenmesi  askerlik erkek işidir diyenleri dehşete düşürüyor",291,34,"""Kadınların [PET_BOUNDARY]muayyen günleri[PET_BOUNDARY] ya da hamilelik dönemlerinin  de gözetilmesi amacıyla, nöbet ve görevlendirme sürelerine yeni esaslar getirilirken,  muharebe eğitiminde el bombasını atma kurallarının bile kadınlar gözetilerek yeniden düzenlenmesi,  Askerlik erkek işidir diyenleri dehşete düşürüyor.""",1,sometimes_euph
2373,2374,hayata veda etmek,hayatına veda etmiş,death,"dahi yapılmayan, yaptığı muamelelerle müşterilerine kendine âşık eden bir bayandır! Kendisi istanbul escort hayatına veda etmiş etmeden önce de beni eğitmiş ve yokluğunu hissettirmememi istemiştir! İstanbul Bakımlı Elit Bayan Escort Bunları",dahi yapılmayan yaptığı muamelelerle müşterilerine kendine şık eden bir bayandır kendisi istanbul escort hayatına veda etmiş etmeden önce de beni eğitmiş ve yokluğunu hissettirmememi istemiştir istanbul bakımlı elit bayan escort bunları,240,31,"dahi yapılmayan, yaptığı muamelelerle müşterilerine kendine âşık eden bir bayandır! Kendisi istanbul escort [PET_BOUNDARY]hayatına veda etmiş[PET_BOUNDARY] etmeden önce de beni eğitmiş ve yokluğunu hissettirmememi istemiştir! İstanbul Bakımlı Elit Bayan Escort Bunları",0,sometimes_euph
2376,2377,hayata veda etmek,hayatına veda ederek,death,. 4. olan ise de güzeldi ama biz 3 kişi olduğumuzdan o boşta kalmıştı. Gecenin ilerleyen saatlerinde Phuket gece hayatına veda ederek Bayanlar ile otele geçtik. O gece tahmin edemediğim bir gece yaşadım. Bayana değer değmez çığlık basıyordu. Hatta,olan ise de güzeldi ama biz  kişi olduğumuzdan o boşta kalmıştı gecenin ilerleyen saatlerinde phuket gece hayatına veda ederek bayanlar ile otele geçtik o gece tahmin edemediğim bir gece yaşadım bayana değer değmez çığlık basıyordu hatta,247,39,. 4. olan ise de güzeldi ama biz 3 kişi olduğumuzdan o boşta kalmıştı. Gecenin ilerleyen saatlerinde Phuket gece [PET_BOUNDARY]hayatına veda ederek[PET_BOUNDARY] Bayanlar ile otele geçtik. O gece tahmin edemediğim bir gece yaşadım. Bayana değer değmez çığlık basıyordu. Hatta,0,sometimes_euph
122,123,birlikte olmak,birlikte olduğu,sexual activity,"Dışişleri Bakanlığı Sözcüsü Ramin Mihmanperest, İran'ın İngilizce yayın yapan Press TV kanalına yaptığı açıklamada, infazın askıya alındığını belirtti. İki çocuk annesi Aştiyani'nin, kocasının ölümünden sonra iki kişiyle birlikte olduğu gerekçesiyle 2006'da recm cezasına çarptırılması dünyada tepkilere neden olmuştu.","dışişleri bakanlığı sözcüsü ramin mihmanperest, i̇ran'ın i̇ngilizce yayın yapan press tv kanalına yaptığı açıklamada, infazın askıya alındığını belirtti. i̇ki çocuk annesi aştiyani'nin, kocasının ölümünden sonra iki kişiyle birlikte olduğu gerekçesiyle 2006'da recm cezasına çarptırılması dünyada tepkilere neden olmuştu.",321,38,"Dışişleri Bakanlığı Sözcüsü Ramin Mihmanperest, İran'ın İngilizce yayın yapan Press TV kanalına yaptığı açıklamada, infazın askıya alındığını belirtti. İki çocuk annesi Aştiyani'nin, kocasının ölümünden sonra iki kişiyle [PET_BOUNDARY]birlikte olduğu[PET_BOUNDARY] gerekçesiyle 2006'da recm cezasına çarptırılması dünyada tepkilere neden olmuştu.",1,sometimes_euph
1436,1437,kurban gitmek,kurban gitti,death,"ediyor. Daha geçen hafta bir işçi iş cinayetine kurban gitmişti. 18 Şubatta ise Cemil Akgül patronların kâr hırsına kurban gitti . Çiçek Tersanesine bağlı... Lüleburgaz Şişecam'dan bir işçi (19.02.2009) Selam, tüm sınıf kardeşlerime merhaba!",ediyor daha geçen hafta bir işçi iş cinayetine kurban gitmişti  şubatta ise cemil akgül patronların kr hırsına kurban gitti  çiçek tersanesine bağlı lüleburgaz şişecamdan bir işçi  selam tüm sınıf kardeşlerime merhaba,241,34,"ediyor. Daha geçen hafta bir işçi iş cinayetine kurban gitmişti. 18 Şubatta ise Cemil Akgül patronların kâr hırsına [PET_BOUNDARY]kurban gitti[PET_BOUNDARY]. Çiçek Tersanesine bağlı... Lüleburgaz Şişecam'dan bir işçi (19.02.2009) Selam, tüm sınıf kardeşlerime merhaba!",0,sometimes_euph
2,3,akıl hastası,akıl hastası,physical/mental attributes,"İSTANBUL DHA Anadolu 40. Asliye Ceza Mahkemesi’nde görülen davanın 2. duruşmada tutuksuz sanık Abdullah Çakıroğlu ve mağdur Ayşegül Terzi’yi avukatları temsil etti. Sanığın tutuklanma talebini reddeden mahkeme Çakıroğlu’nun akıl hastası olup olmadığının tespit edilmesi için 3 haftayı geçmemek üzere gözlem altına alınmasına karar verdi. Duruşma 18 Ocak 2017’ye ertelendi. Etiketler: Anadolu , çekmeköy","i̇stanbul dha anadolu 40. asliye ceza mahkemesi’nde görülen davanın 2. duruşmada tutuksuz sanık abdullah çakıroğlu ve mağdur ayşegül terzi’yi avukatları temsil etti. sanığın tutuklanma talebini reddeden mahkeme çakıroğlu’nun akıl hastası olup olmadığının tespit edilmesi için 3 haftayı geçmemek üzere gözlem altına alınmasına karar verdi. duruşma 18 ocak 2017’ye ertelendi. etiketler: anadolu , çekmeköy",403,53,"İSTANBUL DHA Anadolu 40. Asliye Ceza Mahkemesi’nde görülen davanın 2. duruşmada tutuksuz sanık Abdullah Çakıroğlu ve mağdur Ayşegül Terzi’yi avukatları temsil etti. Sanığın tutuklanma talebini reddeden mahkeme Çakıroğlu’nun [PET_BOUNDARY]akıl hastası[PET_BOUNDARY] olup olmadığının tespit edilmesi için 3 haftayı geçmemek üzere gözlem altına alınmasına karar verdi. Duruşma 18 Ocak 2017’ye ertelendi. Etiketler: Anadolu , çekmeköy",0,sometimes_euph
2300,2301,aşırmak,Aşırdı,misc.,"yetmiş kere düşürmesine rağmen, Vazgeçmedi yine de maksat ve hedefinden. Dikkat ettim, sonunda başardı gayesini, Aşırdı o duvardan o buğday tanesini. Ben bunu gördüğümde düşündüm ki: ""Bu gayret, Karıncadan ziyade olmalı bende elbet. """,yetmiş kere düşürmesine rağmen vazgeçmedi yine de maksat ve hedefinden dikkat ettim sonunda başardı gayesini aşırdı o duvardan o buğday tanesini ben bunu gördüğümde düşündüm ki bu gayret karıncadan ziyade olmalı bende elbet,234,34,"yetmiş kere düşürmesine rağmen, Vazgeçmedi yine de maksat ve hedefinden. Dikkat ettim, sonunda başardı gayesini, [PET_BOUNDARY]Aşırdı[PET_BOUNDARY] o duvardan o buğday tanesini. Ben bunu gördüğümde düşündüm ki: ""Bu gayret, Karıncadan ziyade olmalı bende elbet. """,0,sometimes_euph
34,35,aybaşı,aybaşı,bodily functions,"""Bronşit selülit  , saç , aybaşı , güneş yanması , yüksek tansiyon , ödem  , romatizma gibi rahatsızlıklara iyi gelmektedir .""","""bronşit selülit  saç aybaşı güneş yanması yüksek tansiyondem  romatizma gibi rahatsızlıklara iyi gelmektedir",109,13,"""Bronşit selülit , saç, [PET_BOUNDARY]aybaşı[PET_BOUNDARY], güneş yanması, yüksek tansiyon, ödem , romatizma gibi rahatsızlıklara iyi gelmektedir.""",1,sometimes_euph
978,979,göğüs,göğüsleriniz,physical/mental attributes,858859	Tekrar hamile olduğunuz için göğüsleriniz biraz hassastır ve artık emzirmeyi bırakmayı düşünüyor olabilirsiniz.,tekrar hamile olduğunuz için göğüsleriniz biraz hassastır ve artık emzirmeyi bırakmayı düşünüyor olabilirsiniz.,112,13,858859	Tekrar hamile olduğunuz için [PET_BOUNDARY]göğüsleriniz[PET_BOUNDARY] biraz hassastır ve artık emzirmeyi bırakmayı düşünüyor olabilirsiniz.,1,sometimes_euph
307,308,göğüs,göğüs,physical/mental attributes,"Haberin diğer fotoğrafları için tıklayın Hollywood'da akşam yemeği sonrası görüntülenen Pamela Anderson, derin göğüs dekolteli elbisesi ile dikkatleri üzerine çekti. Göğüs bölümü çiçek detaylı, diz boyunda pembe bir elbise tercih eden 49 yaşındaki oyuncu, formunu koruduğunu gözler önüne serdi.","haberin diğer fotoğrafları için tıklayın hollywood'da akşam yemeği sonrası görüntülenen pamela anderson, derin göğüs dekolteli elbisesi ile dikkatleri üzerine çekti. göğüs bölümü çiçek detaylı, diz boyunda pembe bir elbise tercih eden 49 yaşındaki oyuncu, formunu koruduğunu gözler önüne serdi.",294,39,"Haberin diğer fotoğrafları için tıklayın Hollywood'da akşam yemeği sonrası görüntülenen Pamela Anderson, derin [PET_BOUNDARY]göğüs[PET_BOUNDARY] dekolteli elbisesi ile dikkatleri üzerine çekti. Göğüs bölümü çiçek detaylı, diz boyunda pembe bir elbise tercih eden 49 yaşındaki oyuncu, formunu koruduğunu gözler önüne serdi.",1,sometimes_euph
1263,1264,hacet görmek,hacet görüldüğünden,bodily functions,"boşaltılır. Libade Suyu, yerinde içilirse soğuk ve hafiftir. Fıçıları doldurmak için böyle maşrabalar istimaline hacet görüldüğünden dolayı sucular buraya çokluk gitmezler. Menbaa civar olan köşkler ve haneler ziyade istifade eder. Libade'nin",boşaltılır libade suyu yerinde içilirse soğuk ve hafiftir fıçıları doldurmak için böyle maşrabalar istimaline hacet görüldüğünden dolayı sucular buraya çokluk gitmezler menbaa civar olan köşkler ve haneler ziyade istifade eder libadenin,242,31,"boşaltılır. Libade Suyu, yerinde içilirse soğuk ve hafiftir. Fıçıları doldurmak için böyle maşrabalar istimaline [PET_BOUNDARY]hacet görüldüğünden[PET_BOUNDARY] dolayı sucular buraya çokluk gitmezler. Menbaa civar olan köşkler ve haneler ziyade istifade eder. Libade'nin",1,sometimes_euph
2331,2332,hayata veda etmek,hayata veda etti,death,"silahını temizlemek isterken kendini ağır yaralayan Cemil Kurt, yapılan tüm müdahalelere rağmen kurtarılamayarak hayata veda etti . Trabzon Büyükşehir Belediyesinin ilçelerde düzenlediği iftar programları, Ramazan bereketini ve birlik",silahını temizlemek isterken kendini ağır yaralayan cemil kurt yapılan tüm müdahalelere rağmen kurtarılamayarak hayata veda etti  trabzon büyükşehir belediyesinin ilçelerde düzenlediği iftar programları ramazan bereketini ve birlik,234,28,"silahını temizlemek isterken kendini ağır yaralayan Cemil Kurt, yapılan tüm müdahalelere rağmen kurtarılamayarak [PET_BOUNDARY]hayata veda etti[PET_BOUNDARY]. Trabzon Büyükşehir Belediyesinin ilçelerde düzenlediği iftar programları, Ramazan bereketini ve birlik",1,sometimes_euph
273,274,engelli,engelli,physical/mental attributes,"Kültür Sanat servisi Seçici Kurul’unda Devrim Erbil, Bedri Baykam, Bubi Hayon, Hakan Esmer’in olduğu sergi, 2016 yılının seçmelerinden oluşuyor. Beşiktaş Belediyesi’nin destek verdiği etkinlikte engelli çocuklara ait 2 bin çalışma ziyaretçilerle buluşacak. 31 Ocak tarihine dek Mustafa Kemal Kültür Merkezi’nde görülebilecek sergide satılacak çalışmalardan elde edilecek gelir ise Türk Eğitim Vakfı’na (TEV) bağışlanacak. Etiketler:","kültür sanat servisi seçici kurul’unda devrim erbil, bedri baykam, bubi hayon, hakan esmer’in olduğu sergi, 2016 yılının seçmelerinden oluşuyor. beşiktaş belediyesi’nin destek verdiği etkinlikte engelli çocuklara ait 2 bin çalışma ziyaretçilerle buluşacak. 31 ocak tarihine dek mustafa kemal kültür merkezi’nde görülebilecek sergide satılacak çalışmalardan elde edilecek gelir ise türk eğitim vakfı’na (tev) bağışlanacak. etiketler:",432,54,"Kültür Sanat servisi Seçici Kurul’unda Devrim Erbil, Bedri Baykam, Bubi Hayon, Hakan Esmer’in olduğu sergi, 2016 yılının seçmelerinden oluşuyor. Beşiktaş Belediyesi’nin destek verdiği etkinlikte [PET_BOUNDARY]engelli[PET_BOUNDARY] çocuklara ait 2 bin çalışma ziyaretçilerle buluşacak. 31 Ocak tarihine dek Mustafa Kemal Kültür Merkezi’nde görülebilecek sergide satılacak çalışmalardan elde edilecek gelir ise Türk Eğitim Vakfı’na (TEV) bağışlanacak. Etiketler:",1,sometimes_euph
2431,2432,ihtiyacını karşılamak,ihtiyaçlarının karşılanması,bodily functions,"IMF'den yapılan açıklamada, ""Ebolanın etkisiyle Liberya, Sierra Leone ve Gine'de ekonomik büyümeyi düşüreceği için bu ülkelerin mali ihtiyaçlarının karşılanması kararlaştırıldı"" denildi. Açıklamaya göre, IMF söz konusu ülkelerin her birine 100-130 milyon dolar yardım edecek. İshal, kanama, deri döküntüleri ve yüksek ateşe neden olan bulaşıcı ebola virüsünün yol açtığı hastalık, son aylarda birçok Afrika ülkesinde etkili oluyor.","imf'den yapılan açıklamada, ""ebolanın etkisiyle liberya, sierra leone ve gine'de ekonomik büyümeyi düşüreceği için bu ülkelerin mali ihtiyaçlarının karşılanması kararlaştırıldı"" denildi. açıklamaya göre, imf söz konusu ülkelerin her birine 100-130 milyon dolar yardım edecek. i̇shal, kanama, deri döküntüleri ve yüksek ateşe neden olan bulaşıcı ebola virüsünün yol açtığı hastalık, son aylarda birçok afrika ülkesinde etkili oluyor.",432,56,"IMF'den yapılan açıklamada, ""Ebolanın etkisiyle Liberya, Sierra Leone ve Gine'de ekonomik büyümeyi düşüreceği için bu ülkelerin mali [PET_BOUNDARY]ihtiyaçlarının karşılanması[PET_BOUNDARY] kararlaştırıldı"" denildi. Açıklamaya göre, IMF söz konusu ülkelerin her birine 100 - 130 milyon dolar yardım edecek. İshal, kanama, deri döküntüleri ve yüksek ateşe neden olan bulaşıcı ebola virüsünün yol açtığı hastalık, son aylarda birçok Afrika ülkesinde etkili oluyor.",0,sometimes_euph
378,379,hakkın rahmetine kavuşmak,hakkın rahmetine kavuştuğunu,death,"Mehmet Görmez, Kocatepe Kültür Merkezi’nde düzenlenen vekalet yoluyla kurban kesim etkinliğinde yaptığı konuşmada bu yıl yurtiçinden 61 bin 436, yurtdışından ise 7 bin 749 kişinin hac yapacağına belirterek kutsal topraklara gidişlerin üçte iki oranında tamamlandığını bildirdi. Adayların 3 bin 844 görevlinin nezaretinde hac yapacaklarını aktaran Görmez, şu ana kadar gidenler arasında kutsal topraklarda 9 Türk hacı adayının hakkın rahmetine kavuştuğunu belirtti.","mehmet görmez, kocatepe kültür merkezi’nde düzenlenen vekalet yoluyla kurban kesim etkinliğinde yaptığı konuşmada bu yıl yurtiçinden 61 bin 436, yurtdışından ise 7 bin 749 kişinin hac yapacağına belirterek kutsal topraklara gidişlerin üçte iki oranında tamamlandığını bildirdi. adayların 3 bin 844 görevlinin nezaretinde hac yapacaklarını aktaran görmez, şu ana kadar gidenler arasında kutsal topraklarda 9 türk hacı adayının hakkın rahmetine kavuştuğunu belirtti.",464,61,"Mehmet Görmez, Kocatepe Kültür Merkezi’nde düzenlenen vekalet yoluyla kurban kesim etkinliğinde yaptığı konuşmada bu yıl yurtiçinden 61 bin 436, yurtdışından ise 7 bin 749 kişinin hac yapacağına belirterek kutsal topraklara gidişlerin üçte iki oranında tamamlandığını bildirdi. Adayların 3 bin 844 görevlinin nezaretinde hac yapacaklarını aktaran Görmez, şu ana kadar gidenler arasında kutsal topraklarda 9 Türk hacı adayının [PET_BOUNDARY]hakkın rahmetine kavuştuğunu[PET_BOUNDARY] belirtti.",1,always_euph
1391,1392,iyi saatte olsunlar,iyi saatte olsunlar,misc.,"başımıza? "" ""Karıştırma işte, saat iki de gelin. Kapıyı aralık tutacağım, girip salonda oturursunuz. "" ""Sana yine iyi saatte olsunlar geldi galiba. "" ""Hadi, çok söylenme, biraz eğleneceğiz o kadar. Unutma, tam iki de! "" Ferhunde komşusunun yanıtını",başımıza  karıştırma işte saat iki de gelin kapıyı aralık tutacağım girip salonda oturursunuz  sana yine iyi saatte olsunlar geldi galiba  hadi çok söylenme biraz eğleneceğiz o kadar unutma tam iki de  ferhunde komşusunun yanıtını,248,38,"başımıza? "" ""Karıştırma işte, saat iki de gelin. Kapıyı aralık tutacağım, girip salonda oturursunuz. "" ""Sana yine [PET_BOUNDARY]iyi saatte olsunlar[PET_BOUNDARY] geldi galiba. "" ""Hadi, çok söylenme, biraz eğleneceğiz o kadar. Unutma, tam iki de! "" Ferhunde komşusunun yanıtını",1,sometimes_euph
